Date,Close,C_EMA1,C_EMA2,S_RSI_P,C_RSI_V,C_Pos
2023-09-07,123.62,119.29158532649329,115.70290536387036,30,81.55171732071442,B_N_Y
2023-09-08,124.23,119.9088871686909,116.17683223391815,30,82.15824084957973,B_N_Y
2023-09-11,124.66,120.50277627934683,116.64830667059479,30,82.57597696367756,B_N_Y
2023-09-12,120.47,120.49867924438777,116.86070267281403,30,66.80842098286772,B_N_Y
2023-09-13,121.63,120.64009434006847,117.12575757698218,30,68.52942754757433,B_N_Y
2023-09-14,122.88,120.92008254968937,117.44554475485374,30,70.2490411106071,B_N_Y
2023-09-15,123.4,121.23007223304113,117.77645243603767,30,70.93255857012767,B_N_Y
2023-09-18,122.92,121.44131320514103,118.06229042209885,30,69.40980159252938,B_N_Y
2023-09-20,122.12,121.52614905493066,118.287782317537,30,66.93241669664377,B_N_Y
2023-09-21,120.91,121.44913042272096,118.43349988519088,30,63.39222084008349,B_N_Y
2023-09-22,120.9,121.38048911961307,118.57056214386823,30,63.36356795922841,B_N_Y
2023-09-25,120.73,121.2991779793839,118.69055941912035,30,62.863872234114154,B_N_Y
2023-09-26,121.52,121.32678073204336,118.84778583682755,30,64.22032245013011,B_N_Y
2023-09-27,122.44,121.4659331409016,119.04739558556379,30,65.728406453124,B_N_Y
2023-09-28,122.02,121.53519149844728,119.21257333028481,30,64.44558272116225,B_N_Y
2023-09-29,122.76,121.6882925614477,119.40968984478933,30,65.66691109510239,B_N_Y
2023-10-03,123.43,121.9060059916479,119.63308028421963,30,66.7371116682472,B_N_Y
2023-10-04,122.22,121.94525524275204,119.77682227874755,30,63.06453138350993,B_N_Y
2023-10-05,122.84,122.05709833755795,119.94702591827061,30,64.11139485704452,B_N_Y
2023-10-06,123.55,122.24371104558207,120.14722124888397,30,65.27726524643407,B_N_Y
2023-10-09,121.31,122.12699716476455,120.21182924391253,30,59.019723051824165,B_N_Y
2023-10-10,122.73,122.20237251923666,120.35174638612155,30,61.44355445651126,B_N_Y
2023-10-11,123.78,122.39957595448702,120.54222904997529,30,63.11245877507369,B_N_Y
2023-10-12,124.39,122.6483789603472,120.7560196805104,30,64.04770268243634,B_N_Y
2023-10-13,124.43,122.87108159043778,120.96015276379751,30,64.10943021908271,B_N_Y
2023-10-16,124.88,123.12219639176523,121.17794529648853,30,64.81252866346861,B_N_Y
2023-10-17,125.78,123.45442184294758,121.43364077293026,30,66.1831642535798,B_N_Y
2023-10-18,125.24,123.67761911266908,121.64512530509559,30,64.62080530487273,B_N_Y
2023-10-19,125.52,123.90791672366664,121.86041547589444,30,65.06319399830073,B_N_Y
2023-10-20,124.09,123.93067713321534,121.9842918004844,30,61.031292566651885,B_N_Y
2023-10-23,120.35,123.48309249144259,121.89349053040802,30,52.26796682146868,B_N_Y
2023-10-25,119.01,122.92395592988018,121.7332844791688,30,49.626838804212014,B
2023-10-26,118.82,122.4109614385391,121.57142376425223,30,49.261718935198694,B
2023-10-27,121.1,122.24709125869208,121.5452317858077,30,53.50793594279114,B_N_Y
2023-10-30,120.93,122.0824548513295,121.51105006138945,30,53.16475152918479,B_N_Y
2023-10-31,120.94,121.93964799489353,121.4793231462839,30,53.1830235699118,B_N_Y
2023-11-01,120.46,121.75469199550943,121.42269085981688,30,52.172331255444064,B_N_Y
2023-11-02,121.62,121.73785549606897,121.4336530678873,30,54.34156794378334,B_N_Y
2023-11-03,123.0,121.89562355907499,121.52067675919989,30,56.755383766510384,B_N_Y
2023-11-06,124.39,122.20742061421592,121.68009124821349,30,59.01318782133142,B_N_Y
2023-11-07,124.79,122.53024303746186,121.85287177954382,30,59.64047824921479,B_N_Y
2023-11-08,125.76,122.93396265780422,122.06994374070236,30,61.13273482717729,B_N_Y
2023-11-09,125.48,123.25221732559599,122.259398961911,30,60.4651413008703,B_N_Y
2023-11-10,125.97,123.59194015991267,122.46555132706585,30,61.23158047430779,B_N_Y
2023-11-12,127.61,124.0941976399445,122.75136432692709,30,63.67013416341771,B_N_Y
2023-11-13,126.15,124.35117293496079,122.94018384382055,30,60.18382212810887,B_N_Y
2023-11-15,129.13,124.94852631810973,123.28407356886535,30,64.31013419797377,B_N_Y
2023-11-16,129.95,125.57371052836345,123.65441405355509,30,65.33281916799493,B_N_Y
2023-11-17,130.1,126.13949671233183,124.01251242497912,30,65.51978728675496,B_N_Y
2023-11-20,130.33,126.66330962330154,124.36349345737614,30,65.812255929949,B_N_Y
2023-11-21,130.53,127.14664592039787,124.70608591238751,30,66.07113924892299,B_N_Y
2023-11-22,129.61,127.45456518035317,124.97853216192748,30,63.77312656475325,B_N_Y
2023-11-23,131.25,127.92899453281582,125.32695498686685,30,65.95662323968259,B_N_Y
2023-11-24,130.47,128.24662021621782,125.6126858633361,30,64.05702203081678,B_N_Y
2023-11-28,130.75,128.55954268919402,125.89809800943435,30,64.43737301481916,B_N_Y
2023-11-29,131.49,128.92584985304828,126.20876519893547,30,65.43731522863553,B_N_Y
2023-11-30,132.78,129.40761862142128,126.5738404223471,30,67.10528598077309,B_N_Y
2023-12-01,133.57,129.92791629374744,126.96252261432144,30,68.08114897241049,B_N_Y
2023-12-04,135.87,130.6706767570338,127.4573904773308,30,70.6991341802182,B_N_Y
2023-12-05,135.77,131.30809216240814,127.91920917571665,30,70.4392796662278,B_N_Y
2023-12-06,136.02,131.89708064211,128.36925960664345,30,70.71762613558121,B_N_Y
2023-12-07,136.5,132.47244556184873,128.82097356429446,30,71.25521984857528,B_N_Y
2023-12-08,135.36,132.833389866619,129.18425748807599,30,68.17989431288714,B_N_Y
2023-12-11,136.2,133.254216133293,129.57402570050772,30,69.19337668639723,B_N_Y
2023-12-12,135.91,133.58618911663234,129.92602831522686,30,68.41514518965732,B_N_Y
2023-12-13,136.68,133.97291547705427,130.30125303419618,30,69.36165594136358,B_N_Y
2023-12-14,138.22,134.50380104242367,130.7411879277756,30,71.15036707769804,B_N_Y
2023-12-15,138.87,135.04957591212178,131.19279296758373,30,71.8674991651808,B_N_Y
2023-12-18,139.61,135.6196289231075,131.66041985328997,30,72.66766001346859,B_N_Y
2023-12-19,139.11,136.0559253077197,132.07428898850682,30,71.25114127580231,B_N_Y
2023-12-20,135.21,135.9501846442546,132.2484965756291,30,61.5672719963951,B_N_Y
2023-12-21,137.14,136.09891156372294,132.52024885764683,30,64.06739704151,B_N_Y
2023-12-22,139.48,136.52154761825798,132.90690450977016,30,66.77801263455284,B_N_Y
2023-12-26,138.84,136.81135416597598,133.23652318900787,30,65.38251769147818,B_N_Y
2023-12-27,139.31,137.12368489522922,133.57394075535285,30,65.92350960974562,B_N_Y
2023-12-28,139.91,137.4719742833258,133.92594620246422,30,66.61256635058197,B_N_Y
2023-12-29,140.57,137.8592274979103,134.29506243727374,30,67.36353056042736,B_N_Y
2024-01-01,141.97,138.37307406067177,134.72145018661547,30,68.89858474649866,B_N_Y
2024-01-02,141.91,138.815189803088,135.12081612551856,30,68.75521001307077,B_N_Y
2024-01-03,142.03,139.21704107770216,135.50466154439297,30,68.889155281836,B_N_Y
2024-01-04,143.51,139.75366094298957,135.94940461633146,30,70.50254062039022,B_N_Y
2024-01-05,144.21,140.31070332511604,136.40832857664873,30,71.23248248149105,B_N_Y
2024-01-08,143.74,140.73936540947665,136.8156453276404,30,70.02882321971171,B_N_Y
2024-01-09,144.15,141.16569473329216,137.22311105571467,30,70.47898234892091,B_N_Y
2024-01-10,144.07,141.5287328916307,137.6034951675415,30,70.26595439146814,B_N_Y
2024-01-11,145.38,142.01014128017695,138.0355247077012,30,71.7142247128134,B_N_Y
2024-01-12,145.94,142.5013736201549,138.47466365807477,30,72.31063968679715,B_N_Y
2024-01-15,146.12,142.9537019176356,138.89940587601544,30,72.50342184484515,B_N_Y
2024-01-16,146.05,143.3407391779312,139.29666226233445,30,72.3009118413519,B_N_Y
2024-01-17,144.71,143.51189678068982,139.59740407515184,30,68.51142012327195,B_N_Y
2024-01-18,144.34,143.61540968310362,139.8608823111347,30,67.50084963911573,B_N_Y
2024-01-19,146.09,143.9247334727157,140.20694525419026,30,69.68846587842071,B_N_Y
2024-01-20,146.79,144.28289178862624,140.57267136546884,30,70.50987402783669,B_N_Y
2024-01-23,143.37,144.16878031504797,140.72807885200075,30,62.01599401147767,B_N_Y
